"","sample","treatment"," inoculum","dry_solo","length","AvgDiam","rootVolume","FRL","CRL","FVOL","CVOL"
"1","NC_151","NT","NI",3.4025,4291.0833,0.1502,75.706,3738.5824,552.4812,25.049,50.6568
"2","NC_158","NT","NI",7.6246,6911.4935,0.1977,203.885,5678.0853,1233.4296,46.6521,157.2328
"3","NC_163","NT","NI",2.7437,4895.7073,0.1488,83.21,4264.5603,631.1844,32.5686,50.6414
"4","NC_165","NT","NI",4.2637,4548.5407,0.1724,102.502,3942.6155,605.934,35.6815,66.8205
"5","NC_168","NT","NI",2.6173,5267.2964,0.141,81.178,4739.5509,527.7212,30.1672,51.011
"6","NC_174","NT","NI",3.5988,6471.8829,0.1468,107.802,5742.0053,729.8686,33.3174,74.4849
"7","NC_178","NT","NI",6.0834,6187.9426,0.1775,149.241,5252.2315,935.669,51.047,98.1945
"8","NC_183","NT","NI",2.1513,4024.4485,0.1909,110.685,3391.4802,632.9396,39.9252,70.7597
"9","NC_193","NT","NI",2.789,6384.2836,0.1615,127.223,5702.4667,681.8146,56.1538,71.0689
"10","NC_199","NT","NI",4.1499,4754.6304,0.1944,134.097,4114.2868,640.3171,46.9105,87.1869
"11","NCIT_104","T","NI",4.8384,3649.5033,0.1921,103.451,2894.4021,755.1014,21.9565,81.4949
"12","NCIT_108","T","NI",3.5535,5483.6853,0.1477,93.776,4916.3499,567.3354,34.5667,59.2089
"13","NCIT_113","T","NI",4.2154,6185.3742,0.1497,105.956,5630.8896,554.5131,33.751,72.2055
"14","NCIT_114","T","NI",3.8061,5146.0164,0.1466,84.75,4686.0001,459.9303,25.5072,59.2427
"15","NCIT_121","T","NI",3.2344,6083.2239,0.1568,116.496,5374.68,708.544,58.2068,58.2893
"16","NCIT_129","T","NI",3.731,6409.0018,0.1822,161.218,5649.6488,759.335,70.0986,91.119
"17","NCIT_133","T","NI",3.0127,5056.9588,0.1531,92.072,4612.9603,443.9609,28.2819,63.7902
"18","NCIT_139","T","NI",3.3449,5854.2055,0.1374,85.539,5392.2905,461.9215,33.8427,51.6964
"19","NCIT_142","T","NI",3.9727,6617.4561,0.1512,117.022,5857.3914,760.0559,47.2254,69.7963
"20","NCIT_150","T","NI",5.789,5940.5736,0.2084,201.239,4704.1233,1236.4568,42.6912,158.5482
"21","PC_053","NT","PC",1.4444,1173.7883,0.2253,46.312,1019.1658,154.6026,2.3364,43.9753
"22","PC_063","NT","PC",0.8949,1392.8414,0.1706,31.166,1268.8862,123.9552,2.9939,28.1726
"23","PC_065","NT","PC",2.8548,2101.3349,0.2197,75.484,1755.2354,346.1542,13.8336,61.6501
"24","PC_067","NT","PC",1.6827,1621.178,0.1883,42.222,1519.3778,101.8002,7.1716,35.0501
"25","PC_069","NT","PC",3.6419,2472.05,0.2274,99.247,1966.2175,505.8325,7.679,91.5678
"26","PC_070","NT","PC",2.3596,1705.6518,0.2047,53.449,1498.8663,206.814,8.643,44.8056
"27","PC_081","NT","PC",3.0303,974.3591,0.4093,127.014,715.1245,259.2346,2.7814,124.2325
"28","PC_083","NT","PC",3.0654,2170.5528,0.187,57.189,1963.0256,207.5271,10.2372,46.9518
"29","PC_089","NT","PC",1.0429,861.7383,0.2208,32.327,727.0411,134.6971,4.0623,28.2649
"30","PC_091","NT","PC",3.3402,2979.5416,0.2075,98.931,2474.5189,505.0139,10.3211,88.61
"31","PCIT_003","T","PC",4.518,2593.1489,0.1719,58.025,2342.9311,250.2284,21.2897,36.7357
"32","PCIT_007","T","PC",2.2666,3446.2476,0.1525,61.574,3205.0063,241.2413,27.7006,33.8729
"33","PCIT_012","T","PC",3.2457,1696.9247,0.1718,37.167,1579.732,117.1841,11.5352,25.6317
"34","PCIT_018","T","PC",3.6565,1935.5968,0.1889,53.537,1739.6492,195.9477,5.8377,47.699
"35","PCIT_026","T","PC",5.8993,1271.5413,0.3082,87.823,1059.5098,212.0577,9.0815,78.7414
"36","PCIT_029","T","PC",2.0644,3361.1697,0.1215,37.908,3209.378,151.8705,10.2581,27.6504
"37","PCIT_034","T","PC",2.5155,1992.7665,0.1462,32.995,1846.8819,145.8847,6.041,26.9544
"38","PCIT_040","T","PC",3.4726,1236.9656,0.2289,49.116,1072.0645,164.901,7.0585,42.0578
"39","PCIT_046","T","PC",4.1115,1337.6398,0.2513,64.028,1145.4806,192.1591,12.7382,51.2896
"40","PCIT_050","T","PC",2.4337,4316.0513,0.1284,55.749,4024.1474,291.9038,21.0736,34.675
